state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,deaths_covid,deaths_covid_coverage,start_date
DC,11/17/2020,2,10,9,13,3648,240,13,0.811677632,14,2961,3648,0.083916084,13,240,2860,0.068278805,13,240,3515,2,13,12/31/2019
NV,1/6/2021,17,44,40,61,8691,1962,61,0.811299045,63,7051,8691,0.283648981,61,1962,6917,0.230389854,61,1962,8516,32,61,12/31/2019
ND,9/10/2020,14,30,3,47,2258,129,47,0.681133747,48,1538,2258,0.085092348,47,129,1516,0.057795699,47,129,2232,1,47,12/31/2019
NJ,7/6/2020,0,0,19,49,8546,1096,75,0.663778163,42,5362,8078,0.118612458,42,636,5362,0.077729045,44,638,8208,1,22,12/31/2019
KY,9/3/2020,2,11,6,104,13103,604,105,0.67602839,106,8858,13103,0.068737908,105,604,8787,0.046655338,104,604,12946,4,102,12/31/2019
AL,9/4/2020,30,79,13,109,15029,1107,109,0.722403354,112,10857,15029,0.103555305,107,1101,10632,0.074770798,107,1101,14725,20,106,12/31/2019
MS,4/16/2020,0,0,8,41,4224,401,53,0.518763797,41,2115,4077,0.171159606,51,400,2337,0.078972636,43,329,4166,8,43,12/31/2019
OH,4/22/2020,0,0,2,68,9848,711,107,0.423501308,66,3723,8791,0.119368975,103,681,5705,0.040412819,70,372,9205,10,70,12/31/2019
MN,11/29/2020,26,111,57,138,10242,2059,138,0.720367116,139,7378,10242,0.283843397,138,2059,7254,0.204651625,138,2059,10061,28,138,12/31/2019
SD,3/29/2020,0,0,0,4,99,1,4,0.252525253,4,25,99,0.04,4,1,25,0.01010101,4,1,99,0,4,12/31/2019
AR,5/27/2020,0,0,5,69,8428,187,76,0.587506136,74,4787,8148,0.038228536,74,183,4787,0.022280472,76,187,8393,1,57,12/31/2019
OH,5/4/2020,0,0,7,103,9553,465,105,0.440376692,59,3741,8495,0.071614583,101,440,6144,0.035016835,63,312,8910,4,61,12/31/2019
PR,1/11/2021,1,1,4,66,9406,412,66,0.514884117,67,4843,9406,0.087362171,66,412,4716,0.04468062,66,412,9221,7,66,12/31/2019
OH,5/1/2020,0,0,4,107,10345,564,108,0.462043717,62,4291,9287,0.080715467,104,537,6653,0.041434756,66,402,9702,13,65,12/31/2019
DE,1/3/2021,1,14,22,15,3245,513,15,0.707241911,16,2295,3245,0.225692917,15,513,2273,0.159614188,15,513,3214,3,15,12/31/2019
MN,8/10/2020,11,76,1,126,11321,495,129,0.646056002,126,7314,11321,0.06760448,128,495,7322,0.043724053,126,495,11321,6,124,12/31/2019
VA,7/23/2020,11,39,15,85,15286,1704,91,0.758210127,84,11590,15286,0.141691012,85,1649,11638,0.107876488,84,1649,15286,5,76,12/31/2019
NC,9/1/2020,3,109,13,117,23395,582,120,0.211369951,123,4945,23395,0.116012085,119,576,4965,0.024957754,118,576,23079,12,116,12/31/2019
IN,4/28/2020,0,0,2,83,8649,786,87,0.482783443,71,4024,8335,0.164775207,84,755,4582,0.08764019,74,758,8649,39,71,12/31/2019
MN,3/27/2020,0,0,0,19,976,6,19,0.304918033,9,93,305,0.085106383,8,4,47,0.006726457,19,6,892,1,19,12/31/2019
MA,6/13/2020,0,0,4,81,17084,1390,85,0.731415434,84,12407,16963,0.111469332,84,1383,12407,0.081362679,85,1390,17084,21,58,12/31/2019
NV,4/7/2020,0,0,1,22,3306,1080,67,0.63876652,19,1885,2951,0.289655172,19,546,1885,0.180160692,21,583,3236,2,22,12/31/2019
AR,9/12/2020,34,63,3,96,9255,523,101,0.64354403,100,5956,9255,0.089294861,101,523,5857,0.057095527,98,517,9055,5,92,12/31/2019
CA,6/25/2020,0,0,64,351,67604,5787,384,0.653440701,359,43576,66687,0.127937397,359,5575,43576,0.0834566,367,5642,67604,54,320,12/31/2019
NV,8/21/2020,8,50,45,59,8556,896,59,0.708274895,61,6060,8556,0.150537634,59,896,5952,0.106908483,59,896,8381,11,59,12/31/2019
MN,11/24/2020,25,103,57,129,10503,2039,129,0.74597734,130,7835,10503,0.264736432,129,2039,7702,0.197539237,129,2039,10322,22,129,12/31/2019
AK,4/20/2020,0,0,1,7,1592,17,9,0.313442211,24,499,1592,0.053291536,9,17,319,0.017838405,7,17,953,0,24,12/31/2019
AL,12/22/2020,38,72,16,112,15668,2773,112,0.763722236,116,11966,15668,0.239031118,112,2773,11601,0.182134647,112,2773,15225,46,112,12/31/2019
OH,12/8/2020,37,167,202,203,31638,5737,204,0.711675833,208,22516,31638,0.257483955,204,5737,22281,0.183290735,204,5737,31300,88,203,12/31/2019
KY,5/8/2020,0,0,5,76,10723,500,77,0.503475859,70,5287,10501,0.09126035,75,496,5435,0.045043365,72,483,10723,13,72,12/31/2019
ID,5/5/2020,0,0,3,44,3833,28,36,0.389637854,43,1474,3783,0.02278481,35,27,1185,0.008191925,36,28,3418,1,44,12/31/2019
DC,7/17/2020,0,2,1,7,642,137,12,0.955426357,5,493,516,0.036511156,5,18,493,0.035825545,6,23,642,2,8,12/31/2019
HI,3/24/2020,0,0,0,5,3696,22,5,0.571835804,25,2006,3508,0.039568345,5,22,556,0.026699029,5,22,824,0,5,12/31/2019
NE,4/23/2020,0,0,0,76,5247,298,93,0.49500768,87,2578,5208,0.112325669,89,298,2653,0.058614565,86,297,5067,0,77,12/31/2019
AL,11/24/2020,32,71,12,104,15079,1548,104,0.747794947,107,11276,15079,0.139773143,103,1528,10932,0.104385845,103,1528,14638,21,104,12/31/2019
VA,11/10/2020,29,65,53,94,18303,1280,94,0.699666721,97,12806,18303,0.10116178,94,1280,12653,0.070973108,94,1280,18035,7,94,12/31/2019
DC,4/9/2020,0,0,0,2,1761,235,5,0.625780806,5,1102,1761,0.213248639,5,235,1102,0.133446905,5,235,1761,2,5,12/31/2019
PA,9/19/2020,21,179,9,182,28612,865,206,0.724626031,190,20733,28612,0.037056077,206,865,23343,0.025095568,184,709,28252,4,194,12/31/2019
AR,9/9/2020,35,62,2,96,9204,587,100,0.687853107,99,6331,9204,0.093145033,100,587,6302,0.065193247,97,587,9004,4,93,12/31/2019
NV,11/30/2020,13,44,35,57,8524,1608,57,0.774401689,59,6601,8524,0.24784217,57,1608,6488,0.192436573,57,1608,8356,24,57,12/31/2019
GA,8/1/2020,42,51,815,106,13954,4323,140,0.788118527,111,10958,13904,0.285599212,113,3191,11173,0.224870017,111,3114,13848,26,105,12/31/2019
GA,6/29/2020,0,0,18,99,14760,1577,105,0.684279476,95,9402,13740,0.157306956,95,1479,9402,0.104539295,100,1543,14760,7,78,12/31/2019
NC,12/20/2020,5,123,41,128,23903,2960,128,0.748190604,132,17884,23903,0.167278892,128,2960,17695,0.125450307,128,2960,23595,42,128,12/31/2019
WV,7/11/2020,0,0,4,58,5951,137,59,0.683037269,55,3922,5742,0.033146354,55,130,3922,0.023021341,59,137,5951,2,50,12/31/2019
DE,5/31/2020,0,0,5,8,2767,191,8,0.635431918,9,1736,2732,0.125827815,7,190,1510,0.078697981,8,191,2427,2,6,12/31/2019
ND,9/21/2020,15,29,2,47,2497,178,47,0.636764117,48,1590,2497,0.113592853,47,178,1567,0.072152412,47,178,2467,1,47,12/31/2019
MT,8/27/2020,8,36,1,45,2280,94,52,0.710454545,59,1563,2200,0.057457213,52,94,1636,0.046786632,48,91,1945,0,59,12/31/2019
NE,12/5/2020,17,83,38,100,5141,802,100,0.678856254,101,3490,5141,0.233004067,100,802,3442,0.158466706,100,802,5061,14,100,12/31/2019
NJ,5/19/2020,0,0,33,29,16218,3072,73,0.667324967,69,10475,15697,0.283818616,69,2973,10475,0.189419164,73,3072,16218,15,24,12/31/2019
NE,4/1/2020,0,0,0,47,3616,125,47,0.44789357,47,1616,3608,0.077351485,47,125,1616,0.034645233,47,125,3608,1,47,12/31/2019
OH,1/16/2021,29,199,76,228,32715,4252,228,0.712394926,232,23306,32715,0.184109115,228,4252,23095,0.131275085,228,4252,32390,75,228,12/31/2019
MA,6/24/2020,0,0,7,78,17109,1080,81,0.724779282,80,12314,16990,0.087217801,80,1074,12314,0.063124671,81,1080,17109,24,60,12/31/2019
MO,9/11/2020,35,73,9,122,19049,1008,135,0.654680036,129,12471,19049,0.073434296,128,931,12678,0.049127102,125,923,18788,13,132,12/31/2019
WV,11/22/2020,16,43,3,59,6239,542,59,0.708927713,63,4423,6239,0.124884793,59,542,4340,0.089749959,59,542,6039,6,59,12/31/2019
NC,9/7/2020,7,96,10,119,21608,1116,119,0.680997779,123,14715,21608,0.075614879,119,1116,14759,0.052418976,118,1116,21290,20,117,12/31/2019
NE,12/30/2020,14,86,26,100,5359,588,100,0.68109722,101,3650,5359,0.163515017,100,588,3596,0.111384732,100,588,5279,9,100,12/31/2019
VI,7/24/2020,1,1,0,2,168,4,2,0.601190476,2,101,168,0.03960396,2,4,101,0.023809524,2,4,168,0,2,12/31/2019
CO,11/15/2020,13,77,11,101,11616,1400,101,0.65762741,103,7639,11616,0.185209684,101,1400,7559,0.121749717,101,1400,11499,18,101,12/31/2019
ME,5/7/2020,0,0,0,34,3108,74,35,0.54672745,35,1679,3071,0.044311377,34,74,1670,0.024088542,35,74,3072,1,35,12/31/2019
KS,12/26/2020,37,109,27,147,8807,962,147,0.508572726,150,4479,8807,0.216666667,147,962,4440,0.110333754,147,962,8719,19,147,12/31/2019
ME,4/2/2020,0,0,0,18,2351,70,18,0.490854955,18,1154,2351,0.060658579,18,70,1154,0.029774564,18,70,2351,0,17,12/31/2019
ME,5/1/2020,0,0,0,29,3136,67,29,0.513128039,35,1583,3085,0.043682796,28,65,1488,0.022882514,29,67,2928,0,29,12/31/2019
TN,1/2/2021,31,80,63,111,20313,3304,111,0.623527604,129,12175,19526,0.283125805,110,3297,11645,0.179799739,111,3304,18376,55,111,12/31/2019
NC,5/26/2020,0,0,6,53,22088,819,121,0.825412132,116,17975,21777,0.044228095,116,795,17975,0.037097432,120,819,22077,3,40,12/31/2019
TX,12/11/2020,162,420,98,582,73426,9980,582,0.744327622,587,54653,73426,0.184640432,582,9980,54051,0.137410676,582,9980,72629,181,582,12/31/2019
NJ,7/15/2020,2,10,17,33,7335,1045,76,0.693523783,38,5001,7211,0.104854755,39,527,5026,0.071574642,40,525,7335,2,17,12/31/2019
DE,8/19/2020,1,9,0,11,2504,71,12,0.720047923,12,1803,2504,0.037826319,12,71,1877,0.028733306,11,71,2471,0,9,12/31/2019
WY,12/17/2020,6,23,1,29,1720,174,29,0.496511628,31,854,1720,0.20738975,29,174,839,0.103880597,29,174,1675,6,29,12/31/2019
DE,1/8/2021,1,14,15,15,3272,503,15,0.743887531,16,2434,3272,0.208887043,15,503,2408,0.155246914,15,503,3240,4,15,12/31/2019
PA,7/29/2020,19,143,198,143,25108,1634,188,0.755456428,158,18968,25108,0.072879684,174,1478,20280,0.057352238,158,1440,25108,7,155,12/31/2019
ID,6/19/2020,0,0,0,47,3981,33,46,0.450177936,46,1771,3934,0.017613636,45,31,1760,0.008329127,46,33,3962,0,41,12/31/2019
OR,8/29/2020,1,40,0,52,5234,197,60,0.69526175,53,3639,5234,0.044519774,59,197,4425,0.034155972,51,173,5065,2,55,12/31/2019
DE,6/23/2020,0,0,3,9,3023,122,9,0.697456493,10,2084,2988,0.066703116,8,122,1829,0.045471487,9,122,2683,1,7,12/31/2019
TX,8/11/2020,117,333,302,546,61456,8863,552,0.72935108,550,44823,61456,0.19723168,552,8863,44937,0.144370559,549,8858,61356,113,544,12/31/2019
WV,8/7/2020,10,42,1,59,6492,215,59,0.718884781,59,4667,6492,0.046068138,59,215,4667,0.033117683,59,215,6492,0,59,12/31/2019
IA,12/25/2020,4,73,7,124,8127,571,124,0.51445798,126,4181,8127,0.138895646,124,571,4111,0.071170385,124,571,8023,14,124,12/31/2019
DC,9/15/2020,2,11,9,12,3596,160,13,0.787541713,14,2832,3596,0.058013053,13,160,2758,0.046122802,13,160,3469,0,12,12/31/2019
PR,9/2/2020,9,47,4,64,9674,385,64,0.549514162,65,5316,9674,0.074038462,64,385,5200,0.040564746,64,385,9491,3,64,12/31/2019
CT,5/18/2020,0,0,51,35,10222,1375,35,0.566900365,34,5741,10127,0.236195785,34,1356,5741,0.134513794,35,1375,10222,5,7,12/31/2019
WA,6/10/2020,0,0,9,89,11036,403,90,0.753760088,87,8219,10904,0.044287626,87,364,8219,0.033254802,89,367,11036,9,60,12/31/2019
WA,6/3/2020,0,0,22,91,11150,474,92,0.740710457,89,8153,11007,0.057156875,89,466,8153,0.04206278,91,469,11150,1,60,12/31/2019
AR,6/14/2020,0,0,6,71,8017,339,78,0.555355997,76,4329,7795,0.077616078,76,336,4329,0.042470559,78,339,7982,1,57,12/31/2019
WV,4/14/2020,0,0,1,56,6041,222,57,0.500772002,53,2919,5829,0.072970195,53,213,2919,0.036748883,57,222,6041,4,56,12/31/2019
WA,9/11/2020,15,65,5,92,10319,377,98,0.669638531,84,6910,10319,0.039185116,97,377,9621,0.027175513,82,277,10193,2,95,12/31/2019
IA,8/20/2020,7,114,1,121,8382,351,121,0.631352899,123,5292,8382,0.067189893,121,351,5224,0.042365721,121,351,8285,8,121,12/31/2019
HI,6/15/2020,0,0,0,24,2020,9,24,0.643069307,24,1299,2020,0.006928406,24,9,1299,0.004455446,24,9,2020,0,15,12/31/2019
NE,8/30/2020,10,74,0,83,5609,216,88,0.610804065,92,3426,5609,0.063792085,88,216,3386,0.039329934,88,216,5492,2,79,12/31/2019
KS,12/13/2020,38,110,21,148,8846,1176,148,0.588062401,151,5202,8846,0.228039558,148,1176,5157,0.134246575,148,1176,8760,21,148,12/31/2019
IL,12/24/2020,32,159,60,201,32397,4452,201,0.659196839,206,21356,32397,0.210486502,201,4452,21151,0.139094573,201,4452,32007,70,201,12/31/2019
ND,9/4/2020,13,31,2,47,2276,100,47,0.67486819,48,1536,2276,0.065919578,47,100,1517,0.044444444,47,100,2250,0,47,12/31/2019
CO,6/4/2020,0,0,2,78,9675,318,77,0.553577073,73,5254,9491,0.059817698,73,315,5266,0.032798758,75,317,9665,1,34,12/31/2019
IL,12/22/2020,34,142,49,185,30133,4635,185,0.693790861,190,20906,30133,0.224444337,185,4635,20651,0.156086883,185,4635,29695,65,185,12/31/2019
KS,4/16/2020,0,0,4,84,5043,208,149,0.330755139,81,1625,4913,0.074722709,83,128,1713,0.021098726,84,106,5024,2,84,12/31/2019
NJ,11/28/2020,12,82,117,95,22583,3038,95,0.706903423,96,15964,22583,0.190877105,95,3038,15916,0.134938261,95,3038,22514,32,95,12/31/2019
UT,7/17/2020,2,30,0,46,4964,247,51,0.581128205,46,2833,4875,0.072175732,47,207,2868,0.041901692,47,208,4964,2,40,12/31/2019
MA,4/12/2020,0,0,8,32,4409,1162,36,0.697097494,32,2810,4031,0.369039146,32,1037,2810,0.263551826,36,1162,4409,17,33,12/31/2019
OR,7/16/2020,2,28,0,47,4228,251,63,0.706394626,48,2839,4019,0.062910474,51,182,2893,0.042573321,51,180,4228,0,27,12/31/2019
MO,5/30/2020,0,0,1,103,19572,595,126,0.548210942,119,10541,19228,0.055402713,119,584,10541,0.030400572,125,595,19572,5,117,12/31/2019
PA,11/18/2020,30,190,43,220,37341,4094,220,0.774671273,226,28927,37341,0.142677912,220,4094,28694,0.110711485,220,4094,36979,44,220,12/31/2019
OK,4/26/2020,0,0,2,83,7981,270,131,0.411928651,77,2956,7176,0.062538892,83,201,3214,0.027123849,80,212,7816,4,83,12/31/2019
WI,8/8/2020,6,114,0,133,11550,646,138,0.603030303,131,6965,11550,0.087320744,132,615,7043,0.052813853,131,610,11550,44,117,12/31/2019
NH,3/30/2020,0,0,0,6,797,31,6,0.456712673,6,364,797,0.085164835,6,31,364,0.038895859,6,31,797,1,6,12/31/2019
AR,7/29/2020,27,42,23,72,7832,1562,88,0.703013279,83,5506,7832,0.282014128,86,1557,5521,0.198416752,83,1554,7832,8,69,12/31/2019
IN,5/2/2020,0,0,6,127,15472,1286,132,0.453553367,118,6816,15028,0.172270652,127,1245,7227,0.082730093,123,1280,15472,56,121,12/31/2019
MT,7/19/2020,4,14,0,47,2614,72,26,0.670615034,50,1472,2195,0.056994819,24,66,1158,0.041144902,24,69,1677,2,45,12/31/2019
TN,8/14/2020,23,82,11,116,19389,1310,116,0.645906305,115,11802,18272,0.107828908,111,1263,11713,0.069107407,116,1310,18956,20,110,12/31/2019
OH,7/16/2020,3,40,2,88,22011,1957,202,0.740721864,164,15987,21583,0.086540704,172,1484,17148,0.063735561,168,1396,21903,0,57,12/31/2019
MN,11/13/2020,30,108,58,139,11204,1662,139,0.759639414,140,8511,11204,0.198211091,139,1662,8385,0.150775651,139,1662,11023,13,139,12/31/2019
ME,11/9/2020,7,22,0,36,3050,76,36,0.667540984,37,2036,3050,0.037905237,36,76,2005,0.025198939,36,76,3016,1,36,12/31/2019
IN,4/26/2020,0,0,0,67,7926,840,93,0.464852608,64,3280,7056,0.173511767,89,752,4334,0.092606611,68,734,7926,26,67,12/31/2019
MN,11/28/2020,25,112,57,138,10273,2043,138,0.72841429,139,7483,10273,0.277732463,138,2043,7356,0.202437574,138,2043,10092,28,138,12/31/2019
SD,4/21/2020,0,0,0,26,642,8,37,0.168377823,21,82,487,0.060869565,32,7,115,0.00623053,26,4,642,0,26,12/31/2019
OK,8/24/2020,19,85,2,124,9325,523,126,0.58691689,125,5473,9325,0.084834835,123,452,5328,0.04967033,123,452,9100,4,123,12/31/2019
MO,3/30/2020,0,0,0,22,2556,80,23,0.550497866,20,1161,2109,0.06546081,20,76,1161,0.031298905,23,80,2556,0,22,12/31/2019
MO,9/2/2020,35,71,8,122,19170,952,135,0.636306729,129,12198,19170,0.070939689,128,881,12419,0.046271814,125,875,18910,8,132,12/31/2019
VT,4/25/2020,0,0,0,12,1172,25,15,0.481515712,11,521,1082,0.038525963,13,23,597,0.020477816,13,24,1172,0,13,12/31/2019
AZ,5/3/2020,0,0,2,67,10054,857,67,0.603937988,58,5337,8837,0.151601933,64,847,5587,0.076990281,61,705,9157,11,84,12/31/2019
IL,12/13/2020,38,150,53,198,31730,5136,198,0.680680744,203,21598,31730,0.240303186,198,5136,21373,0.164115673,198,5136,31295,67,198,12/31/2019
KS,9/4/2020,24,106,3,132,7893,313,143,0.584941595,134,4607,7876,0.062460166,140,294,4707,0.035846883,132,280,7811,4,130,12/31/2019
WI,9/10/2020,8,126,0,136,12899,571,137,0.635320567,138,8195,12899,0.069068323,136,556,8050,0.04370505,135,553,12653,50,133,12/31/2019
VT,11/20/2020,1,14,0,15,790,17,15,0.524050633,16,414,790,0.043814433,15,17,388,0.022576361,15,17,753,1,15,12/31/2019
MA,5/30/2020,0,0,163,83,16998,2223,85,0.730935593,83,12336,16877,0.18302718,82,2202,12031,0.133458079,83,2211,16567,31,59,12/31/2019
MO,12/9/2020,47,79,17,136,17127,2712,136,0.812401471,140,13914,17127,0.198144224,136,2712,13687,0.161150395,136,2712,16829,64,136,12/31/2019
VT,12/20/2020,1,15,0,16,1308,22,16,0.572629969,17,749,1308,0.029972752,16,22,734,0.017254902,16,22,1275,1,16,12/31/2019
ME,11/28/2020,8,23,1,38,3280,160,38,0.634146341,39,2080,3280,0.077858881,38,160,2055,0.049245922,38,160,3249,1,38,12/31/2019
ID,3/30/2020,0,0,0,18,1859,42,18,0.290478752,18,540,1859,0.077777778,18,42,540,0.022592792,18,42,1859,0,18,12/31/2019
HI,5/7/2020,0,0,0,17,1821,23,17,0.607907743,13,1107,1821,0.019279128,17,23,1193,0.008786381,13,16,1821,0,13,12/31/2019
SC,4/6/2020,0,0,1,15,1838,185,15,0.508250825,15,924,1818,0.20021645,15,185,924,0.101760176,15,185,1818,2,15,12/31/2019
NV,11/24/2020,8,49,30,57,8489,1442,57,0.79279067,59,6730,8489,0.218517957,57,1442,6599,0.173109244,57,1442,8330,22,57,12/31/2019
AK,4/16/2020,0,0,0,7,1673,17,8,0.309025702,25,517,1673,0.057239057,8,17,297,0.017838405,7,17,953,0,25,12/31/2019
MN,9/13/2020,13,80,2,128,11050,385,128,0.657737557,129,7268,11050,0.053816047,128,385,7154,0.035418583,128,385,10870,3,128,12/31/2019
MI,9/1/2020,3,120,0,123,22252,688,145,0.724384325,148,16119,22252,0.042513749,145,688,16183,0.031177777,144,688,22067,5,124,12/31/2019
WI,1/5/2021,37,103,7,141,13552,1259,141,0.638503542,144,8653,13552,0.148292108,141,1259,8490,0.09477567,141,1259,13284,16,141,12/31/2019
CA,5/1/2020,0,0,33,268,54902,4188,337,0.582102682,292,31100,53427,0.122874365,300,3873,31520,0.072237806,303,3966,54902,146,270,12/31/2019
NM,8/26/2020,12,34,1,47,3426,111,46,0.607583774,47,2067,3402,0.058267717,45,111,1905,0.034796238,46,111,3190,1,47,12/31/2019
MA,4/27/2020,0,0,28,71,15945,4320,85,0.681718407,71,10870,15945,0.34066714,85,4320,12681,0.254186265,71,4053,15945,110,70,12/31/2019
RI,6/7/2020,0,1,16,13,2281,196,13,0.816484517,12,1793,2196,0.10819855,12,194,1793,0.085927225,13,196,2281,2,11,12/31/2019
IN,8/30/2020,15,114,1,138,17100,860,139,0.592163743,140,10126,17100,0.084779573,138,850,10026,0.050129748,138,850,16956,4,132,12/31/2019
ID,8/6/2020,7,37,0,44,4063,203,48,0.489785873,48,1990,4063,0.10201005,48,203,1990,0.049963081,48,203,4063,0,35,12/31/2019
DC,6/11/2020,0,0,2,13,3201,363,13,0.73694517,12,2258,3064,0.155890168,12,352,2258,0.113402062,13,363,3201,6,10,12/31/2019
ND,5/17/2020,0,0,1,23,2814,64,25,0.518397086,55,1423,2745,0.084370678,24,61,723,0.042723632,25,64,1498,1,18,12/31/2019
MN,7/2/2020,0,0,4,124,12335,438,125,0.611742424,124,7429,12144,0.058150491,124,432,7429,0.035508715,125,438,12335,1,123,12/31/2019
RI,5/31/2020,0,1,1,12,2163,238,12,0.824519231,11,1715,2080,0.13819242,11,237,1715,0.110032362,12,238,2163,4,10,12/31/2019
SC,11/27/2020,26,59,9,85,11266,890,85,0.713207882,87,8035,11266,0.11178096,85,890,7962,0.080223544,85,890,11094,14,85,12/31/2019
AL,4/23/2020,0,0,8,49,8099,367,49,0.6121673,49,4508,7364,0.085518545,48,362,4233,0.052624032,49,367,6974,7,49,12/31/2019
MO,11/17/2020,50,63,15,123,18528,2763,123,0.665533247,127,12331,18528,0.228290506,123,2763,12103,0.151496875,123,2763,18238,39,123,12/31/2019
NH,8/6/2020,5,21,4,30,3341,49,30,0.681532475,30,2277,3341,0.021519543,30,49,2277,0.014666268,30,49,3341,0,29,12/31/2019
MS,4/8/2020,0,0,4,31,3735,322,33,0.517269513,32,1902,3677,0.169295478,32,322,1902,0.086675639,33,322,3715,3,33,12/31/2019
GA,8/29/2020,42,65,22,113,14813,2833,142,0.778703516,119,11496,14763,0.186337594,117,2114,11345,0.145146743,116,2092,14413,11,109,12/31/2019
OR,7/26/2020,2,30,1,48,3610,244,54,0.674958077,38,2415,3578,0.063583815,46,209,3287,0.046814404,39,169,3610,0,44,12/31/2019
CA,4/12/2020,0,0,5,136,31421,4902,361,0.508931994,133,13276,26086,0.125825358,135,1696,13479,0.06067636,158,1857,30605,35,140,12/31/2019
ND,12/31/2020,18,31,47,49,2456,198,49,0.67752443,50,1664,2456,0.12051126,49,198,1643,0.081481481,49,198,2430,1,49,12/31/2019
KS,8/3/2020,20,84,5,119,6949,392,126,0.562814793,117,3911,6949,0.08009828,122,326,4070,0.042739963,117,297,6949,4,103,12/31/2019
CT,11/28/2020,7,27,21,34,8434,1266,34,0.698008063,35,5887,8434,0.216855087,34,1266,5838,0.151707609,34,1266,8345,17,34,12/31/2019
AR,12/6/2020,38,71,12,109,9081,1159,109,0.685166832,111,6222,9081,0.186905338,109,1159,6201,0.128207965,109,1159,9040,24,109,12/31/2019
OR,12/28/2020,5,52,17,61,6625,598,61,0.677886792,63,4491,6625,0.135970896,61,598,4398,0.092383748,61,598,6473,9,61,12/31/2019
CO,8/26/2020,6,84,9,94,9383,268,97,0.669721837,82,6284,9383,0.03527138,83,219,6209,0.023609314,80,219,9276,2,90,12/31/2019
MS,11/10/2020,16,84,4,100,8577,724,100,0.669231666,102,5740,8577,0.127330285,100,724,5686,0.085206543,100,724,8497,12,100,12/31/2019
CT,6/13/2020,0,0,7,37,10280,373,37,0.568931658,36,5794,10184,0.063859165,36,370,5794,0.036284047,37,373,10280,4,30,12/31/2019
NY,9/9/2020,8,122,28,155,43529,1533,166,0.694334924,162,30114,43371,0.045952135,158,1465,31881,0.032429025,154,1389,42832,15,154,12/31/2019
VA,6/18/2020,0,0,6,67,13801,706,95,0.688371392,75,9134,13269,0.061591846,76,568,9222,0.043238878,80,589,13622,2,39,12/31/2019
GA,8/10/2020,40,55,841,117,13949,3882,143,0.780703648,115,10851,13899,0.258225324,116,2849,11033,0.202340533,115,2801,13843,35,110,12/31/2019
TN,4/19/2020,0,0,2,71,13694,453,88,0.499037202,69,6479,12983,0.048859157,84,409,8371,0.031886024,71,423,13266,1,71,12/31/2019
ND,1/2/2021,18,31,38,49,2445,184,49,0.626993865,50,1533,2445,0.12161269,49,184,1513,0.076064489,49,184,2419,1,49,12/31/2019
NE,6/1/2020,1,9,0,93,5277,264,100,0.534992224,97,2752,5144,0.094476744,96,260,2752,0.050113895,100,264,5268,3,87,12/31/2019
IN,4/18/2020,0,0,43,84,10938,949,94,0.456668654,83,4595,10062,0.185795954,90,845,4548,0.093406593,84,935,10010,18,73,12/31/2019
FL,7/13/2020,0,0,41,40,60893,11296,263,0.770360859,260,46197,59968,0.242160847,257,11144,46019,0.186242828,263,11296,60652,4,20,12/31/2019
NJ,8/25/2020,11,63,61,71,19284,630,77,0.743466086,76,14337,19284,0.042461414,77,630,14837,0.030809264,75,592,19215,9,72,12/31/2019
MI,4/3/2020,0,0,129,59,12642,2449,65,0.544756731,56,4613,8468,0.280728376,56,1295,4613,0.205126057,65,2449,11939,175,60,12/31/2019
TN,12/24/2020,35,77,71,112,20387,3075,112,0.626485136,130,12286,19611,0.261858128,112,3075,11743,0.166657634,112,3075,18451,59,112,12/31/2019
RI,8/25/2020,1,11,1,13,1889,92,13,1.072525146,14,2026,1889,0.04641776,13,92,1982,0.050997783,13,92,1804,1,13,12/31/2019
ND,5/5/2020,0,0,3,25,2199,79,26,0.453051643,50,965,2130,0.119448698,25,78,653,0.046927374,21,42,895,0,20,12/31/2019
IA,7/31/2020,2,120,1,122,8456,314,122,0.112149533,2,108,963,0.305555556,2,33,108,0.037133396,122,314,8456,0,122,12/31/2019
GA,8/26/2020,44,59,26,112,14831,3040,139,0.80075773,118,11836,14781,0.196244856,115,2289,11664,0.157497228,115,2273,14432,86,107,12/31/2019
SC,6/30/2020,0,0,8,75,10905,1050,77,0.730378922,76,7845,10741,0.131474613,75,1028,7819,0.096516224,77,1050,10879,16,68,12/31/2019
NC,12/22/2020,7,109,35,116,22378,3162,116,0.769639825,120,17223,22378,0.185672343,116,3162,17030,0.143271409,116,3162,22070,52,116,12/31/2019
SD,8/28/2020,6,38,2,50,2291,94,52,0.628109996,53,1439,2291,0.066104079,52,94,1422,0.042152466,50,94,2230,0,51,12/31/2019
TN,12/2/2020,25,90,30,115,20421,2670,115,0.677934944,128,13276,19583,0.208903842,115,2670,12781,0.142339269,115,2670,18758,34,115,12/31/2019
