state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,deaths_covid,deaths_covid_coverage,start_date
WI,6/26/2020,0,0,75,137,12185,385,139,0.669342699,133,8004,11958,0.046295162,135,378,8165,0.031185884,136,380,12185,1,110,12/31/2019
NM,7/9/2020,0,0,1,39,2210,468,42,0.641726619,38,1338,2085,0.252041372,39,463,1837,0.2,39,442,2210,4,25,12/31/2019
CO,11/17/2020,8,75,21,94,11081,1545,94,0.695063622,96,7702,11081,0.202862395,94,1545,7616,0.140915724,94,1545,10964,12,94,12/31/2019
MT,3/27/2020,0,0,0,9,632,15,9,0.443037975,9,280,632,0.053571429,9,15,280,0.023734177,9,15,632,0,9,12/31/2019
AL,4/2/2020,0,0,1,43,5291,237,44,0.460972405,43,1754,3805,0.13340935,43,234,1754,0.058173785,44,237,4074,4,44,12/31/2019
MT,5/11/2020,0,0,0,42,2779,21,69,0.62802498,56,1609,2562,0.012430081,56,20,1609,0.007556675,69,21,2779,0,27,12/31/2019
MT,1/5/2021,13,52,7,65,2930,229,65,0.641638225,66,1880,2930,0.122986037,65,229,1862,0.079129233,65,229,2894,4,65,12/31/2019
IL,12/2/2020,43,141,41,194,31374,5769,194,0.708771594,199,22237,31374,0.262024799,194,5769,22017,0.186295088,194,5769,30967,95,194,12/31/2019
LA,12/15/2020,44,169,21,213,14151,1416,218,0.695498551,221,9842,14151,0.146099876,218,1416,9692,0.101702219,218,1416,13923,21,213,12/31/2019
IA,12/7/2020,4,76,11,120,8264,917,120,0.587608906,122,4856,8264,0.19176077,120,917,4782,0.112377451,120,917,8160,17,120,12/31/2019
LA,8/21/2020,39,148,11,183,14283,950,207,0.668206959,178,9544,14283,0.10075701,172,945,9379,0.067577231,172,945,13984,16,183,12/31/2019
WY,6/3/2020,0,0,1,22,1113,11,22,0.530131827,20,563,1062,0.019538188,20,11,563,0.009883199,22,11,1113,0,19,12/31/2019
NJ,12/15/2020,11,66,164,78,20373,3775,78,0.757276788,79,15428,20373,0.245608328,78,3775,15370,0.185960591,78,3775,20300,59,78,12/31/2019
HI,5/20/2020,0,0,0,16,1920,19,16,0.621354167,16,1193,1920,0.015926236,16,19,1193,0.009895833,16,19,1920,0,13,12/31/2019
SC,1/3/2021,18,67,17,85,10458,2100,85,0.785618665,87,8216,10458,0.259227256,85,2100,8101,0.204041974,85,2100,10292,29,85,12/31/2019
NC,7/20/2020,8,27,8,68,9004,1727,112,0.719828816,64,5046,7010,0.098958333,64,513,5184,0.080593022,73,723,8971,8,66,12/31/2019
MS,7/25/2020,28,52,6,69,6715,1448,87,0.674311243,81,4528,6715,0.308040526,85,1429,4639,0.212597247,80,1421,6684,12,67,12/31/2019
GA,4/26/2020,0,0,6,86,18500,2823,145,0.588598522,140,10676,18138,0.26171108,141,2799,10695,0.152486486,144,2821,18500,22,86,12/31/2019
WY,1/9/2021,4,25,2,29,1733,110,29,0.4593191,31,796,1733,0.139949109,29,110,786,0.065243179,29,110,1686,3,29,12/31/2019
TN,4/23/2020,0,0,3,67,11783,480,111,0.54464209,66,6338,11637,0.044250336,110,461,10418,0.032928796,67,388,11783,1,67,12/31/2019
MA,4/15/2020,0,0,21,39,5667,1529,46,0.665068904,36,3330,5007,0.348534202,41,1284,3684,0.253396859,41,1436,5667,43,39,12/31/2019
NV,3/22/2020,0,0,0,1,85,0,1,0.117647059,1,10,85,0,1,0,10,0,1,0,85,0,1,12/31/2019
IA,8/8/2020,5,118,10,123,8416,291,123,0.572243346,123,4816,8416,0.060423588,123,291,4816,0.034576996,123,291,8416,6,123,12/31/2019
CO,4/6/2020,0,0,1,29,1290,112,29,0.497975709,28,615,1235,0.182113821,28,112,615,0.086821705,29,112,1290,0,29,12/31/2019
WY,7/31/2020,3,21,2,31,1888,48,31,0.408368644,31,771,1888,0.062256809,31,48,771,0.025423729,31,48,1888,0,31,12/31/2019
AZ,8/30/2020,23,46,1,70,11649,768,81,0.621855953,73,7244,11649,0.089171975,79,756,8478,0.058299524,71,661,11338,12,86,12/31/2019
MT,5/1/2020,0,0,1,38,2585,17,68,0.375212947,46,881,2348,0.013745704,55,16,1164,0.005802708,59,15,2585,0,29,12/31/2019
OK,9/7/2020,30,98,7,131,9460,496,132,0.565327696,131,5348,9460,0.083683607,129,438,5234,0.04732577,129,438,9255,7,130,12/31/2019
IL,12/20/2020,34,155,64,199,32200,4659,199,0.667142857,204,21482,32200,0.219247059,199,4659,21250,0.146680099,199,4659,31763,81,199,12/31/2019
RI,12/4/2020,3,11,4,14,2292,430,14,0.891797557,14,2044,2292,0.216297787,13,430,1988,0.193084868,14,430,2227,3,14,12/31/2019
TN,1/16/2021,32,78,34,110,20381,2819,110,0.655761097,130,12868,19623,0.229224264,110,2819,12298,0.153015253,110,2819,18423,53,110,12/31/2019
CO,6/14/2020,0,0,2,72,9571,257,72,0.53920733,68,5061,9386,0.04940673,69,254,5141,0.026763224,70,255,9528,2,32,12/31/2019
IL,5/27/2020,0,0,9,166,27326,3271,174,0.632328339,175,17009,26899,0.199067744,167,3203,16090,0.127243577,172,3254,25573,46,166,12/31/2019
NY,7/6/2020,0,1,14,151,34741,1801,175,0.672606053,144,22800,33898,0.067661301,145,1551,22923,0.045095829,153,1560,34593,6,85,12/31/2019
PR,12/19/2020,1,1,16,66,9629,593,66,0.561532869,67,5407,9629,0.112587811,66,593,5267,0.062804491,66,593,9442,11,66,12/31/2019
VA,9/6/2020,13,58,14,86,16907,1159,95,0.613828592,91,10378,16907,0.108961204,88,1115,10233,0.064631197,87,1069,16540,7,83,12/31/2019
TX,7/30/2020,119,322,133,523,56044,10909,532,0.720433945,526,40376,56044,0.265806865,530,10779,40552,0.192460317,525,10767,55944,145,522,12/31/2019
OH,11/16/2020,29,173,57,201,31117,3853,202,0.668798406,206,20811,31117,0.187002524,202,3853,20604,0.125146161,202,3853,30788,40,202,12/31/2019
OH,7/4/2020,0,0,1,91,27179,1265,194,0.674114482,191,18042,26764,0.069718231,190,1252,17958,0.046801583,194,1265,27029,4,52,12/31/2019
AR,4/18/2020,0,0,3,63,6735,175,65,0.454388985,59,2904,6391,0.055555556,61,167,3006,0.023311062,63,157,6735,5,63,12/31/2019
PR,12/30/2020,10,51,7,66,9441,472,66,0.506408219,67,4781,9441,0.101724138,66,472,4640,0.051004971,66,472,9254,9,66,12/31/2019
KY,7/19/2020,1,6,15,95,12564,532,103,0.620423432,96,7795,12564,0.064143682,96,500,7795,0.039796243,96,500,12564,3,89,12/31/2019
MT,7/15/2020,0,10,0,46,2440,102,49,0.632899628,48,1362,2152,0.061377246,38,82,1336,0.041485769,46,86,2073,3,36,12/31/2019
AK,9/16/2020,1,18,0,20,1143,50,24,0.515310586,18,589,1143,0.0501002,24,50,998,0.029746282,18,34,1143,0,24,12/31/2019
NH,9/11/2020,2,28,2,30,3267,34,30,0.669421488,30,2187,3267,0.015546411,30,34,2187,0.010407101,30,34,3267,0,30,12/31/2019
SD,7/10/2020,0,0,0,42,2558,76,46,0.500249377,47,1003,2005,0.061555076,40,57,926,0.032786885,46,76,2318,1,28,12/31/2019
FL,9/3/2020,14,211,107,248,77339,4892,258,0.572143421,262,44249,77339,0.111359285,257,4886,43876,0.063853735,256,4879,76409,79,253,12/31/2019
MI,9/18/2020,5,120,4,127,22698,532,149,0.744647105,152,16902,22698,0.031382728,149,532,16952,0.023629741,148,532,22514,6,133,12/31/2019
WA,12/22/2020,13,80,39,93,12869,1133,93,0.690574248,95,8887,12869,0.128793907,93,1133,8797,0.089002357,93,1133,12730,26,93,12/31/2019
ID,5/1/2020,0,0,1,38,3774,29,37,0.39275843,37,1421,3618,0.019774011,36,28,1416,0.007962658,37,29,3642,0,38,12/31/2019
OK,5/12/2020,0,0,8,104,10926,318,136,0.527105067,113,5659,10736,0.054249867,113,307,5659,0.028464214,115,311,10926,9,91,12/31/2019
MI,6/13/2020,0,0,2,109,19383,973,125,0.598564038,119,11338,18942,0.088695652,118,969,10925,0.051887799,125,973,18752,6,94,12/31/2019
KS,5/27/2020,0,0,4,118,8365,197,147,0.494958085,117,4074,8231,0.04708798,116,190,4035,0.023140894,120,192,8297,9,107,12/31/2019
DE,5/12/2020,0,0,7,9,2673,331,10,0.643534319,9,1697,2637,0.195050088,9,331,1697,0.123830902,10,331,2673,4,7,12/31/2019
KS,1/3/2021,10,136,14,147,8826,1042,147,0.565035123,150,4987,8826,0.210931174,147,1042,4940,0.119249256,147,1042,8738,12,147,12/31/2019
AK,4/19/2020,0,0,0,5,1674,16,5,0.306451613,26,513,1674,0.062745098,5,16,255,0.018348624,5,16,872,1,26,12/31/2019
GA,8/7/2020,41,54,840,112,14052,3980,143,0.820097129,114,11483,14002,0.246304998,116,2883,11705,0.201849993,114,2815,13946,27,111,12/31/2019
UT,4/29/2020,0,0,1,47,4044,218,47,0.446239273,41,1768,3962,0.097615834,46,217,2223,0.047230465,42,191,4044,0,42,12/31/2019
TN,7/21/2020,1,4,32,101,19959,1481,111,0.591138896,110,10874,18395,0.128281512,103,1378,10742,0.079559495,110,1481,18615,7,98,12/31/2019
IA,4/15/2020,0,0,1,48,8070,120,51,0.465530303,117,3687,7920,0.091342335,49,115,1259,0.038897893,51,120,3085,3,117,12/31/2019
MT,1/10/2021,9,57,14,66,3213,211,66,0.617491441,67,1984,3213,0.107324517,66,211,1966,0.066414857,66,211,3177,0,66,12/31/2019
VT,11/22/2020,2,13,0,15,789,18,15,0.491761724,16,388,789,0.049046322,15,18,367,0.02393617,15,18,752,0,15,12/31/2019
NE,8/18/2020,9,71,0,76,5250,190,82,0.612761905,85,3217,5250,0.059767222,82,190,3179,0.036914708,81,190,5147,3,74,12/31/2019
CT,3/22/2020,0,0,,0,319,24,2,0.548589342,2,175,319,0.137142857,2,24,175,0.07523511,2,24,319,0,2,12/31/2019
NH,9/6/2020,2,28,1,30,3241,34,30,0.633446467,30,2053,3241,0.01656113,30,34,2053,0.010490589,30,34,3241,0,30,12/31/2019
MN,8/19/2020,9,77,3,125,11617,491,128,0.695274167,128,8077,11617,0.061644696,128,491,7965,0.042912078,127,491,11442,2,125,12/31/2019
SD,12/14/2020,11,49,81,60,2602,418,60,0.581091468,63,1512,2602,0.287680661,60,418,1453,0.166136725,60,418,2516,7,60,12/31/2019
IN,7/17/2020,8,29,2,107,10080,1236,132,0.635514977,97,6195,9748,0.152908925,100,1004,6566,0.069926552,101,695,9939,13,81,12/31/2019
AZ,5/16/2020,0,0,2,71,10250,1023,71,0.652830949,68,6480,9926,0.15617284,68,1012,6480,0.099804878,71,1023,10250,17,76,12/31/2019
IL,6/23/2020,0,0,6,176,29549,1681,179,0.632600259,160,18093,28601,0.09196927,160,1664,18093,0.057165204,179,1681,29406,14,161,12/31/2019
ND,8/29/2020,11,33,2,47,2340,101,47,0.666666667,47,1560,2340,0.065414508,47,101,1544,0.043647364,46,101,2314,2,47,12/31/2019
NM,7/12/2020,0,0,1,28,1999,175,28,0.624268228,27,1173,1879,0.144927536,27,170,1173,0.087543772,28,175,1999,2,23,12/31/2019
AZ,3/23/2020,0,0,0,1,50,0,1,0.94,1,47,50,0,1,0,47,0,1,0,50,0,1,12/31/2019
IN,12/28/2020,22,113,3,135,16955,2919,135,0.62211737,137,10548,16955,0.279463858,135,2919,10445,0.173646639,135,2919,16810,56,135,12/31/2019
WY,12/30/2020,5,24,5,29,1721,125,29,0.481696688,31,829,1721,0.153751538,29,125,813,0.074626866,29,125,1675,0,29,12/31/2019
AK,11/27/2020,5,19,0,24,1633,155,24,0.592161666,24,967,1633,0.160289555,24,155,967,0.09491733,24,155,1633,2,24,12/31/2019
KS,11/9/2020,32,105,5,138,8133,791,138,0.578753228,141,4707,8133,0.169961324,138,791,4654,0.098309719,138,791,8046,9,138,12/31/2019
MT,11/22/2020,21,45,18,66,3178,453,66,0.654499685,67,2080,3178,0.219476744,66,453,2064,0.143855192,66,453,3149,7,66,12/31/2019
WY,7/13/2020,0,0,0,15,726,8,17,0.451094891,15,309,685,0.01980198,14,6,303,0.011412268,17,8,701,1,14,12/31/2019
AZ,5/24/2020,0,0,3,74,10547,1082,74,0.687487819,71,7055,10262,0.151240255,71,1067,7055,0.102588414,74,1082,10547,17,65,12/31/2019
KS,8/1/2020,19,86,7,116,7082,515,126,0.567918667,116,4022,7082,0.105524079,122,447,4236,0.058881672,116,417,7082,5,104,12/31/2019
AL,12/10/2020,35,77,32,113,15748,2484,113,0.787020574,116,12394,15748,0.202362525,113,2484,12275,0.159506839,113,2484,15573,28,113,12/31/2019
ME,6/8/2020,0,0,0,33,3075,62,33,0.590520079,35,1794,3038,0.035046729,32,60,1712,0.021045485,33,62,2946,1,31,12/31/2019
TN,6/8/2020,0,0,5,71,20875,498,115,0.630290843,125,12851,20389,0.038978054,112,476,12212,0.025535842,115,498,19502,1,53,12/31/2019
OK,8/5/2020,27,46,9,77,8015,695,137,0.663630692,84,5319,8015,0.091540049,85,488,5331,0.060636307,84,486,8015,16,74,12/31/2019
VT,5/27/2020,0,0,0,15,1272,16,15,0.607026144,14,743,1224,0.020188425,14,15,743,0.012578616,15,16,1272,1,11,12/31/2019
NV,4/16/2020,0,0,3,61,5157,829,73,0.626454115,27,2908,4642,0.156464924,27,455,2908,0.09617995,31,496,5157,6,73,12/31/2019
MT,9/13/2020,10,53,306,63,2568,111,66,0.708006279,64,1804,2548,0.057722309,65,111,1923,0.043165468,62,108,2502,5,65,12/31/2019
MS,4/25/2020,0,0,2,46,4826,581,79,0.539004061,46,2522,4679,0.171200473,77,579,3382,0.080536913,48,384,4768,25,48,12/31/2019
NV,8/19/2020,5,52,46,59,8409,938,59,0.70935902,61,5965,8409,0.159931799,59,938,5865,0.113890238,59,938,8236,9,59,12/31/2019
VA,8/7/2020,13,40,29,86,17498,1385,92,0.645502343,85,11295,17498,0.116883117,86,1323,11319,0.075380043,85,1319,17498,6,71,12/31/2019
NJ,5/23/2020,0,0,26,29,16245,2831,73,0.644570374,66,9782,15176,0.264158659,66,2584,9782,0.174269006,73,2831,16245,11,25,12/31/2019
NC,8/8/2020,4,96,7,71,21821,1310,120,0.809266303,119,17659,21821,0.073158426,119,1305,17838,0.059800817,118,1303,21789,16,114,12/31/2019
NC,8/7/2020,4,95,8,74,22022,1371,120,0.811370448,119,17868,22022,0.075802072,119,1368,18047,0.062119145,118,1366,21990,15,114,12/31/2019
NM,7/10/2020,0,0,1,39,2201,470,42,0.649975927,38,1350,2077,0.25148729,39,465,1849,0.201726488,39,444,2201,4,25,12/31/2019
SC,12/26/2020,27,58,21,85,10382,1760,85,0.705740705,87,7327,10382,0.243026788,85,1760,7242,0.172346259,85,1760,10212,29,85,12/31/2019
IA,4/24/2020,0,0,2,71,4130,281,98,0.417734238,72,1663,3981,0.104285173,96,275,2637,0.039467312,74,163,4130,3,73,12/31/2019
MT,12/3/2020,21,45,7,66,3215,398,66,0.703888025,67,2263,3215,0.177757928,66,398,2239,0.125314861,66,398,3176,9,66,12/31/2019
AL,4/4/2020,0,0,2,41,5398,330,43,0.445697796,41,1699,3812,0.193054738,41,328,1699,0.079652426,43,330,4143,3,42,12/31/2019
DE,9/2/2020,1,10,0,11,2519,92,12,0.720524017,12,1815,2519,0.048651507,12,92,1891,0.03699236,11,92,2487,2,9,12/31/2019
NH,11/24/2020,5,23,8,29,3067,151,29,0.689925008,29,2116,3067,0.071361059,29,151,2116,0.049233779,29,151,3067,0,29,12/31/2019
VA,9/5/2020,12,59,13,91,16885,1154,95,0.629908203,91,10636,16885,0.105861016,88,1109,10476,0.064475118,87,1065,16518,7,81,12/31/2019
PR,6/23/2020,0,0,0,8,8243,85,57,0.513033764,55,4133,8056,0.019920319,56,85,4267,0.01031178,56,85,8243,0,4,12/31/2019
CT,8/16/2020,0,7,3,30,8080,136,31,0.726608911,30,5871,8080,0.023164708,30,136,5871,0.016831683,30,136,8080,0,30,12/31/2019
NE,9/14/2020,9,78,0,86,5111,214,90,0.608882802,93,3112,5111,0.069525666,89,214,3078,0.042723098,89,214,5009,3,83,12/31/2019
GA,11/29/2020,33,119,16,167,22719,2600,167,0.725648136,170,16486,22719,0.159352783,167,2600,16316,0.115942029,167,2600,22425,27,167,12/31/2019
